model_id,model,combination_id,combination,disk_prefix,best_row_index,weight,chi2,minuslogpost,minuslogprior,value_provenance,Omega_m,H0rd,chi2__bao_LCDM_H0rd,H0,chi2__sn_LCDM,omega_b,chi2__cmb_LCDM,rd_eff,chi2__bao_LCDM,w0,wa,chi2__bao_CPL_H0rd,chi2__sn_CPL,chi2__cmb_CPL,chi2__bao_CPL,w2,chi2__bao_CPLn2_H0rd,chi2__sn_CPLn2,chi2__cmb_CPLn2,chi2__bao_CPLn2,we,chi2__bao_exp_H0rd,chi2__sn_exp,chi2__cmb_exp_loose,chi2__bao_exp,selection_provenance
LCDM,LambdaCDM,B,BAO,b_LCDM_H0rd,1733,6.0,12.73884,14.152644,7.783224,LEÍDA,0.29323336,10196.099,12.73884,,,,,,,,,,,,,,,,,,,,,,,CALCULADA
LCDM,LambdaCDM,S,SN,s_LCDM,573,5.0,1135.4194,571.11088,3.4011974,LEÍDA,0.34144453,,,72.956334,1135.4194,,,,,,,,,,,,,,,,,,,,,CALCULADA
LCDM,LambdaCDM,C,CMB,c_LCDM,115,6.0,0.0037897886,-1.8952251,-1.89712,LEÍDA,0.31710106,,,67.32969,,0.022366704,0.0037897886,,,,,,,,,,,,,,,,,,,CALCULADA
LCDM,LambdaCDM,BS,BAO + SN,bs_LCDM_H0rd_sep,1688,2.0,1151.992,587.69125,11.695247,LEÍDA,0.31220887,10049.223,14.265539,73.285948,1137.7265,,,137.12347,,,,,,,,,,,,,,,,,,CALCULADA
LCDM,LambdaCDM,CB,CMB + BAO,cb_LCDM_sep,3124,1.0,17.783618,6.9946889,-1.89712,LEÍDA,0.30631456,,,68.121296,,0.022493236,2.1567064,,15.626911,,,,,,,,,,,,,,,,,CALCULADA
LCDM,LambdaCDM,CS,CMB + SN,cs_LCDM_sep,3250,2.0,1305.1228,650.66429,-1.89712,LEÍDA,0.24663982,,,73.414999,1179.8013,0.023567647,125.32148,,,,,,,,,,,,,,,,,,,CALCULADA
LCDM,LambdaCDM,CBS,CMB + BAO + SN,cbs_LCDM_sep,4143,3.0,1360.5045,678.35515,-1.89712,LEÍDA,0.24974846,,,73.154571,1191.9493,0.023609383,116.55832,,51.996961,,,,,,,,,,,,,,,,,CALCULADA
CPL,CPL,B,BAO,b_CPL_H0rd,8382,13.0,7.5453628,15.65025,11.877569,LEÍDA,0.49140524,8259.238,,,,,,,,0.91956426,-6.8084942,7.5453628,,,,,,,,,,,,,,CALCULADA
CPL,CPL,S,SN,s_CPL,12685,7.0,1134.5899,574.79049,7.4955419,LEÍDA,0.33867547,,,72.661656,,,,,,-0.8787573,-0.71633469,,1134.5899,,,,,,,,,,,,,CALCULADA
CPL,CPL,C,CMB,c_CPL,79661,159.0,0.00031286589,2.197381,2.1972246,LEÍDA,0.24142787,,,77.147726,,0.022371792,,,,-0.91953957,-1.8167574,,,0.00031286589,,,,,,,,,,,,CALCULADA
CPL,CPL,BS,BAO + SN,bs_CPL_H0rd_sep,36845,2.0,1146.5054,589.04228,15.789592,LEÍDA,0.31643177,9954.0065,,72.570238,,,,,,-0.81909028,-0.71630307,11.670293,1134.8351,,,,,,,,,,,,,CALCULADA
CPL,CPL,CB,CMB + BAO,cb_CPL_sep,13586,22.0,10.91952,7.6569848,2.1972246,LEÍDA,0.35762542,,,63.444838,,0.022362486,,,,-0.32918374,-2.102608,,,0.062449723,10.857071,,,,,,,,,,,CALCULADA
CPL,CPL,CS,CMB + SN,cs_CPL_sep,11289,1.0,1156.5449,580.46965,2.1972246,LEÍDA,0.27297013,,,72.216208,,0.022541349,,,,-0.54693122,-2.5569768,,1154.4335,2.1113355,,,,,,,,,,,,CALCULADA
