model_id,model,combination_id,combination,datasets,disk_prefix,n_rows,sum_weights,min_weight,max_weight,n_zero_weight,n_negative_weight,n_nonfinite_cells,n_rows_with_nonfinite,N_last,acceptance_rate_last,Rminus1_checkpoint,Rminus1_cl_last,Rminus1_stop,converged_checkpoint,min_N_eff,min_N_eff_parameter,min_N_eff_fraction,max_correlation_length,max_corr_parameter,max_stability_shift,max_edge_enrichment,n_high_weight_rows,high_weight_row_fraction,high_weight_weight_fraction,classification,numerical_classification,graphical_assessment,graphical_conclusion,graphical_reviewed
LCDM,LambdaCDM,B,BAO,BAO,b_LCDM_H0rd,2400,8423.0,1.0,39.0,0,0,0,0,1920.0,0.288375,0.0043913540969071916,0.107082,0.005,True,981.5907478129432,Omega_m,0.11653695213260634,8.580969226500013,Omega_m,0.02664738925293197,0.0,11,0.004583333333333333,0.028255965807906923,VÁLIDA CON OBSERVACIONES,VÁLIDA CON OBSERVACIONES,OBSERVATION_CONFIRMED,"Multiplicidades elevadas puntuales, sin evidencia de atrapamiento persistente.",True
LCDM,LambdaCDM,S,SN,SN,s_LCDM,3520,11494.0,1.0,23.0,0,0,0,0,2816.0,0.300887,0.004714569849369283,0.100362,0.005,True,1436.5648916172663,H0,0.12498389521639693,8.001030838962103,H0,0.08047479044859522,0.0,1,0.0002840909090909091,0.002001044022968505,VÁLIDA CON OBSERVACIONES,VÁLIDA CON OBSERVACIONES,OBSERVATION_CONFIRMED,"Una multiplicidad elevada aislada, sin estructura temporal anómala.",True
LCDM,LambdaCDM,C,CMB,CMB,c_LCDM,6480,21536.0,1.0,27.0,0,0,0,0,5184.0,0.299359,0.004508540699304744,0.081387,0.005,True,1787.6337425151137,omega_b,0.08300676739018915,12.047210503925651,omega_b,0.04866054450908399,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
LCDM,LambdaCDM,BS,BAO + SN,BAO + SN,bs_LCDM_H0rd_sep,18360,26920.0,1.0,9.0,0,0,0,0,14688.0,0.681578,0.004286324744238942,0.080677,0.005,True,1881.1754598972748,H0,0.06988021767820486,14.310201559545126,H0,0.06788025658062621,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
LCDM,LambdaCDM,CB,CMB + BAO,CMB + BAO,cb_LCDM_sep,5040,16633.0,1.0,23.0,0,0,0,0,4032.0,0.300045,0.0047995826884709636,0.072152,0.005,True,1279.2174222450917,Omega_m,0.0769084003033182,13.002480822070293,Omega_m,0.004135238619381191,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NO_ADDITIONAL_ANOMALY,Trazas estacionarias y homogéneas.,True
LCDM,LambdaCDM,CS,CMB + SN,CMB + SN,cs_LCDM_sep,5200,8399.0,1.0,10.0,0,0,0,0,4160.0,0.62034,0.004893670596781661,0.078169,0.005,True,837.0854101818113,H0,0.09966488988948818,10.033623687427276,H0,0.013645383458179092,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NO_ADDITIONAL_ANOMALY,Trazas estacionarias y homogéneas.,True
LCDM,LambdaCDM,CBS,CMB + BAO + SN,CMB + BAO + SN,cbs_LCDM_sep,5120,8222.0,1.0,9.0,0,0,0,0,4096.0,0.618357,0.0031632427104456348,0.071451,0.005,True,597.1831347115213,Omega_m,0.07263234428503057,13.767970865372423,Omega_m,0.08147382412326895,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
CPL,CPL,B,BAO,BAO,b_CPL_H0rd,12480,59177.0,1.0,76.0,0,0,0,0,9984.0,0.210708,0.004666436781217999,0.060992,0.005,True,1279.8328961068798,H0rd,0.02162720138072021,46.238067625867686,H0rd,0.06579606944401975,3.851158389239062,0,0.0,0.0,VÁLIDA CON OBSERVACIONES,VÁLIDA CON OBSERVACIONES,PRIOR_SENSITIVITY_CONFIRMED,"La cadena es técnicamente estable, pero la marginal BAO-only de H0rd alcanza el límite inferior al ampliar el espacio paramétrico de CPL. La comparación con las ejecuciones exploratorias confirma sensibilidad al volumen de prior y una degeneración extensa, no un fallo técnico de muestreo.",True
CPL,CPL,S,SN,SN,s_CPL,23680,147431.0,1.0,131.0,0,0,0,0,18944.0,0.156337,0.00415279088698068,0.055107,0.005,True,1203.7661532377542,Omega_m,0.00816494599668831,122.47478432871429,Omega_m,0.07843806513426538,0.4507871478861298,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
CPL,CPL,C,CMB,CMB,c_CPL,191600,18584917.0,1.0,9782.0,0,0,0,0,153280.0,0.010113,0.004756901257681748,0.071224,0.005,True,1956.6435811495483,Omega_m,0.00010528126550952841,9498.366068837724,Omega_m,0.08539996536421057,1.7788693917761373,0,0.0,0.0,VÁLIDA CON OBSERVACIONES,VÁLIDA CON OBSERVACIONES,OBSERVATION_CONFIRMED,"Posterior continuo y fuertemente degenerado; muestreo muy ineficiente pero sin deriva, atrapamiento o modos desconectados.",True
CPL,CPL,BS,BAO + SN,BAO + SN,bs_CPL_H0rd_sep,205920,422947.0,1.0,21.0,0,0,0,0,164736.0,0.471924,0.004957449291102282,0.027954,0.005,True,1136.5641817452936,Omega_m,0.002687249659520681,372.1276869296795,Omega_m,0.024258276374865287,0.19505990112236285,0,0.0,0.0,VÁLIDA,VÁLIDA,NO_ADDITIONAL_ANOMALY,Trazas estacionarias y sin anomalías macroscópicas adicionales.,True
CPL,CPL,CB,CMB + BAO,CMB + BAO,cb_CPL_sep,25400,326727.0,1.0,166.0,0,0,0,0,20320.0,0.075063,0.0036113117164840915,0.031215,0.005,True,753.27350627149,H0,0.0023055134906863834,433.7428533989129,H0,0.055018060774378375,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
CPL,CPL,CS,CMB + SN,CMB + SN,cs_CPL_sep,26040,75027.0,1.0,26.0,0,0,0,0,20832.0,0.345805,0.004466979798938067,0.060399,0.005,True,2331.9520308181923,wa,0.031081504402657608,32.173474843595265,wa,0.03543269680196949,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
CPL,CPL,CBS,CMB + BAO + SN,CMB + BAO + SN,cbs_CPL_sep,23800,67929.0,1.0,34.0,0,0,0,0,19040.0,0.350361,0.0032558562576545506,0.041494,0.005,True,2167.3962936037437,wa,0.03190678934775639,31.34129194576319,wa,0.045003903853867606,0.0,0,0.0,0.0,VÁLIDA,VÁLIDA,NOT_SELECTED,No seleccionada para revisión gráfica; se conserva la clasificación derivada de los diagnósticos numéricos.,False
CPL2,CPL2,B,BAO,BAO,b_CPLn2_H0rd,12960,59853.0,1.0,63.0,0,0,0,0,10368.0,0.215659,0.004286163719981826,0.051762,0.005,True,1032.5836716077488,H0rd,0.01725199524848794,57.964309959315884,H0rd,0.04779959727422807,1.4174728083805324,0,0.0,0.0,VÁLIDA,VÁLIDA,NO_ADDITIONAL_ANOMALY,"H0rd alcanza el límite inferior del prior, pero presenta un máximo posterior interior; no se observa evidencia de truncamiento.",True
