model_id,model,model_code_name,combination_id,combination,datasets,v1_reference,v1_script,v1_chain_prefix,disk_prefix,disk_prefix_found,prefix_matches_v1,n_fragments,chain_fragments,checkpoint_file,covmat_file,input_yaml_file,progress_file,updated_pickle_file,updated_yaml_file,classification,n_validation_warnings
LCDM,LambdaCDM,LCDM,B,BAO,BAO,LCDM_v1,run_final_LCDM_v1.py,b_LCDM_H0rd,b_LCDM_H0rd,True,True,1,['chains_final/final/b_LCDM_H0rd.1.txt'],chains_final/final/b_LCDM_H0rd.checkpoint,chains_final/final/b_LCDM_H0rd.covmat,chains_final/final/b_LCDM_H0rd.input.yaml,chains_final/final/b_LCDM_H0rd.progress,chains_final/final/b_LCDM_H0rd.updated.dill_pickle,chains_final/final/b_LCDM_H0rd.updated.yaml,VÁLIDA CON OBSERVACIONES,1
LCDM,LambdaCDM,LCDM,S,SN,SN,LCDM_v1,run_final_LCDM_v1.py,s_LCDM,s_LCDM,True,True,1,['chains_final/final/s_LCDM.1.txt'],chains_final/final/s_LCDM.checkpoint,chains_final/final/s_LCDM.covmat,chains_final/final/s_LCDM.input.yaml,chains_final/final/s_LCDM.progress,chains_final/final/s_LCDM.updated.dill_pickle,chains_final/final/s_LCDM.updated.yaml,VÁLIDA CON OBSERVACIONES,1
LCDM,LambdaCDM,LCDM,C,CMB,CMB,LCDM_v1,run_final_LCDM_v1.py,c_LCDM,c_LCDM,True,True,1,['chains_final/final/c_LCDM.1.txt'],chains_final/final/c_LCDM.checkpoint,chains_final/final/c_LCDM.covmat,chains_final/final/c_LCDM.input.yaml,chains_final/final/c_LCDM.progress,chains_final/final/c_LCDM.updated.dill_pickle,chains_final/final/c_LCDM.updated.yaml,VÁLIDA,0
LCDM,LambdaCDM,LCDM,BS,BAO + SN,BAO + SN,LCDM_v1,run_final_LCDM_v1.py,bs_LCDM_H0rd_sep,bs_LCDM_H0rd_sep,True,True,1,['chains_final/final/bs_LCDM_H0rd_sep.1.txt'],chains_final/final/bs_LCDM_H0rd_sep.checkpoint,chains_final/final/bs_LCDM_H0rd_sep.covmat,chains_final/final/bs_LCDM_H0rd_sep.input.yaml,chains_final/final/bs_LCDM_H0rd_sep.progress,chains_final/final/bs_LCDM_H0rd_sep.updated.dill_pickle,chains_final/final/bs_LCDM_H0rd_sep.updated.yaml,VÁLIDA,0
LCDM,LambdaCDM,LCDM,CB,CMB + BAO,CMB + BAO,LCDM_v1,run_final_LCDM_v1.py,cb_LCDM_sep,cb_LCDM_sep,True,True,1,['chains_final/final/cb_LCDM_sep.1.txt'],chains_final/final/cb_LCDM_sep.checkpoint,chains_final/final/cb_LCDM_sep.covmat,chains_final/final/cb_LCDM_sep.input.yaml,chains_final/final/cb_LCDM_sep.progress,chains_final/final/cb_LCDM_sep.updated.dill_pickle,chains_final/final/cb_LCDM_sep.updated.yaml,VÁLIDA,0
LCDM,LambdaCDM,LCDM,CS,CMB + SN,CMB + SN,LCDM_v1,run_final_LCDM_v1.py,cs_LCDM_sep,cs_LCDM_sep,True,True,1,['chains_final/final/cs_LCDM_sep.1.txt'],chains_final/final/cs_LCDM_sep.checkpoint,chains_final/final/cs_LCDM_sep.covmat,chains_final/final/cs_LCDM_sep.input.yaml,chains_final/final/cs_LCDM_sep.progress,chains_final/final/cs_LCDM_sep.updated.dill_pickle,chains_final/final/cs_LCDM_sep.updated.yaml,VÁLIDA,0
LCDM,LambdaCDM,LCDM,CBS,CMB + BAO + SN,CMB + BAO + SN,LCDM_v1,run_final_LCDM_v1.py,cbs_LCDM_sep,cbs_LCDM_sep,True,True,1,['chains_final/final/cbs_LCDM_sep.1.txt'],chains_final/final/cbs_LCDM_sep.checkpoint,chains_final/final/cbs_LCDM_sep.covmat,chains_final/final/cbs_LCDM_sep.input.yaml,chains_final/final/cbs_LCDM_sep.progress,chains_final/final/cbs_LCDM_sep.updated.dill_pickle,chains_final/final/cbs_LCDM_sep.updated.yaml,VÁLIDA,0
CPL,CPL,CPL,B,BAO,BAO,CPL_v1,run_final_CPL_v1.py,b_CPL_H0rd,b_CPL_H0rd,True,True,1,['chains_final/final/b_CPL_H0rd.1.txt'],chains_final/final/b_CPL_H0rd.checkpoint,chains_final/final/b_CPL_H0rd.covmat,chains_final/final/b_CPL_H0rd.input.yaml,chains_final/final/b_CPL_H0rd.progress,chains_final/final/b_CPL_H0rd.updated.dill_pickle,chains_final/final/b_CPL_H0rd.updated.yaml,VÁLIDA CON OBSERVACIONES,1
CPL,CPL,CPL,S,SN,SN,CPL_v1,run_final_CPL_v1.py,s_CPL,s_CPL,True,True,1,['chains_final/final/s_CPL.1.txt'],chains_final/final/s_CPL.checkpoint,chains_final/final/s_CPL.covmat,chains_final/final/s_CPL.input.yaml,chains_final/final/s_CPL.progress,chains_final/final/s_CPL.updated.dill_pickle,chains_final/final/s_CPL.updated.yaml,VÁLIDA,0
CPL,CPL,CPL,C,CMB,CMB,CPL_v1,run_final_CPL_v1.py,c_CPL,c_CPL,True,True,1,['chains_final/final/c_CPL.1.txt'],chains_final/final/c_CPL.checkpoint,chains_final/final/c_CPL.covmat,chains_final/final/c_CPL.input.yaml,chains_final/final/c_CPL.progress,chains_final/final/c_CPL.updated.dill_pickle,chains_final/final/c_CPL.updated.yaml,VÁLIDA CON OBSERVACIONES,2
