model_id,model,combination_id,combination,disk_prefix,parameter,parameter_type,mean,std,median,q16,q84,q2_5,q97_5,provenance
LCDM,LambdaCDM,B,BAO,b_LCDM_H0rd,Omega_m,sampled,0.29476025053900035,0.014503703213026282,0.29456109,0.28015107,0.3091841,0.26710429,0.32307297,CALCULADA
LCDM,LambdaCDM,B,BAO,b_LCDM_H0rd,H0rd,sampled,10188.723921714354,123.83309012846006,10188.702,10068.2,10309.784,9961.8323,10430.289,CALCULADA
LCDM,LambdaCDM,S,SN,s_LCDM,Omega_m,sampled,0.34211474259874713,0.019616500385955943,0.34151129,0.3228364612,0.36144791279999994,0.30413767,0.38111141774999996,CALCULADA
LCDM,LambdaCDM,S,SN,s_LCDM,H0,sampled,72.94734641647817,0.2684777840105593,72.94680149999999,72.689304,73.211936,72.406428,73.456388,CALCULADA
LCDM,LambdaCDM,C,CMB,c_LCDM,Omega_m,sampled,0.317158675683971,0.007193031351945356,0.31704446,0.309803102,0.32448186,0.30353093000000003,0.33101443375,CALCULADA
LCDM,LambdaCDM,C,CMB,c_LCDM,H0,sampled,67.33531350803307,0.5205185724739844,67.332746,66.8013332,67.860328,66.34325,68.35246925,CALCULADA
LCDM,LambdaCDM,C,CMB,c_LCDM,omega_b,sampled,0.022369803556324296,0.00014176997665489986,0.022371705,0.022225082,0.0225089832,0.0220894975,0.022650037,CALCULADA
LCDM,LambdaCDM,BS,BAO + SN,bs_LCDM_H0rd_sep,Omega_m,sampled,0.31253897331983654,0.012174192819206717,0.31222107,0.3005804244,0.32469596,0.28927824,0.33673977299999996,CALCULADA
LCDM,LambdaCDM,BS,BAO + SN,bs_LCDM_H0rd_sep,H0,sampled,73.28564895921248,0.20978460956599726,73.287937,73.085022,73.489134,72.87516,73.693102,CALCULADA
LCDM,LambdaCDM,BS,BAO + SN,bs_LCDM_H0rd_sep,H0rd,sampled,10049.321252447993,104.30556288467155,10048.7225,9946.080243999999,10152.893,9843.6526725,10254.7807,CALCULADA
LCDM,LambdaCDM,BS,BAO + SN,bs_LCDM_H0rd_sep,rd_eff,derived,137.12401733692423,1.2257100985334255,137.11449499999998,135.9103852,138.3510824,134.7252235,139.53338275,CALCULADA
LCDM,LambdaCDM,CB,CMB + BAO,cb_LCDM_sep,Omega_m,sampled,0.3059928586148019,0.0052082752985584775,0.30579221,0.30072372,0.31141449,0.29605564,0.316032268,CALCULADA
LCDM,LambdaCDM,CB,CMB + BAO,cb_LCDM_sep,H0,sampled,68.15497519701798,0.4009372787041559,68.169728,67.737437,68.552848,67.37608900000001,68.920792,CALCULADA
LCDM,LambdaCDM,CB,CMB + BAO,cb_LCDM_sep,omega_b,sampled,0.022506473706968077,0.00013373271486921267,0.0225088,0.022373544,0.022636281039999998,0.022242704,0.022766355,CALCULADA
LCDM,LambdaCDM,CS,CMB + SN,cs_LCDM_sep,Omega_m,sampled,0.24650833591975238,0.001856574104922871,0.24651798,0.24459243,0.248359442,0.242825572,0.25016066,CALCULADA
LCDM,LambdaCDM,CS,CMB + SN,cs_LCDM_sep,H0,sampled,73.4223088036671,0.17216680713527666,73.425131,73.250098,73.597918,73.106446,73.761619,CALCULADA
LCDM,LambdaCDM,CS,CMB + SN,cs_LCDM_sep,omega_b,sampled,0.023565853484581498,0.00010460428070636694,0.023566798,0.02346203648,0.023669796,0.023356288399999998,0.02376996255,CALCULADA
LCDM,LambdaCDM,CBS,CMB + BAO + SN,cbs_LCDM_sep,Omega_m,sampled,0.2499633288311846,0.0018030271906459617,0.249981795,0.2480682544,0.25174284999999996,0.24659742075,0.25345382925,CALCULADA
LCDM,LambdaCDM,CBS,CMB + BAO + SN,cbs_LCDM_sep,H0,sampled,73.13343360435418,0.1613176113551637,73.129468,72.976295,73.29434896,72.804433,73.456274,CALCULADA
LCDM,LambdaCDM,CBS,CMB + BAO + SN,cbs_LCDM_sep,omega_b,sampled,0.023601978060082705,0.00010546358568593317,0.023601781,0.023495612,0.02370700948,0.023402393724999998,0.023807369,CALCULADA
CPL,CPL,B,BAO,b_CPL_H0rd,Omega_m,sampled,0.44359465271625803,0.05893097836431704,0.45334028,0.37998459,0.50324761,0.31484165,0.53045254,CALCULADA
CPL,CPL,B,BAO,b_CPL_H0rd,H0rd,sampled,8707.436677068794,549.0590032266853,8585.1337,8173.2793,9264.942519999999,8029.6148,10039.762,CALCULADA
CPL,CPL,B,BAO,b_CPL_H0rd,w0,sampled,0.4586349414223052,0.5946637266858362,0.54884423,-0.19161293,1.0614149,-0.85381651,1.3628572,CALCULADA
CPL,CPL,B,BAO,b_CPL_H0rd,wa,sampled,-5.335094347056623,2.1666280739963777,-5.5856536,-7.5008051,-3.00137,-8.9594958,-0.72110392,CALCULADA
CPL,CPL,S,SN,s_CPL,Omega_m,sampled,0.3942843620704601,0.09490211253241843,0.41646911,0.29329299,0.4856291,0.16131268,0.52288611,CALCULADA
